bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
16,0.025,0.001666666666666667,0.003333333333333334,0.0025000000000000005,0.0016666666666666668,right,26,0.024761904761904763,14.857142857142856,2,1,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
17,0.025,0.003333333333333334,0.005000000000000001,0.0041666666666666675,0.0016666666666666668,right,33,0.03142857142857143,18.857142857142854,3,2,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
18,0.025,0.005000000000000001,0.006666666666666668,0.0058333333333333345,0.0016666666666666668,right,34,0.03238095238095238,19.428571428571427,4,3,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
19,0.025,0.006666666666666668,0.008333333333333331,0.0075,0.0016666666666666668,right,35,0.03333333333333333,19.999999999999996,5,4,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
20,0.025,0.008333333333333331,0.010000000000000002,0.009166666666666667,0.0016666666666666668,right,22,0.02095238095238095,12.57142857142857,6,5,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
21,0.025,0.010000000000000002,0.011666666666666665,0.010833333333333334,0.0016666666666666668,right,24,0.022857142857142857,13.714285714285712,7,6,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
22,0.025,0.011666666666666665,0.013333333333333336,0.0125,0.0016666666666666668,right,25,0.023809523809523808,14.285714285714285,8,7,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
23,0.025,0.013333333333333336,0.015,0.014166666666666668,0.0016666666666666668,right,24,0.022857142857142857,13.714285714285712,9,8,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
24,0.025,0.015,0.01666666666666667,0.015833333333333335,0.0016666666666666668,right,32,0.030476190476190476,18.285714285714285,10,9,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
25,0.025,0.01666666666666667,0.018333333333333333,0.0175,0.0016666666666666668,right,41,0.039047619047619046,23.428571428571427,11,10,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
26,0.025,0.018333333333333333,0.020000000000000004,0.01916666666666667,0.0016666666666666668,right,25,0.023809523809523808,14.285714285714285,12,11,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
27,0.025,0.020000000000000004,0.021666666666666667,0.020833333333333336,0.0016666666666666668,right,28,0.02666666666666667,15.999999999999998,13,12,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
